corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 133618
query: Query:[lempos_lc="(love)-v"]
Reference,Sentence
wikipedia.org | <s> My father and mother came to love him very much. </s> 
wikipedia.org | <s> By his singular color gamma he created figure compositions and landscapes full of deep and diverse feelings: expectations, doubt, uneasiness, love ...originated by the nowadays world anxieties. </s> 
wikipedia.org | <s> Gifford intends to make movies about the experiences of losing a loved one and being a widow, which she considers an underrepresented topic in Hollywood. </s> 
wikipedia.org | <s> The list is determined based on a survey of all practicing physicians in the state of New Hampshire, asking them which doctor they would chose to provide medical care to a friend or a loved one. </s> 
wikipedia.org | <s> Although not a big hit on the charts and later revealed as a regret as a single choice by Cole, fans loved the single and viewed it as a great comeback along with credits. </s> 
wikipedia.org | <s> Prior to joining SNL Korea, he wrote and directed a Korean play called Want Night (달콤한 원나잇), which was later re-branded as Insolent Romance (발칙한 로맨스), a globally-successful Korean movie director Daniel Bong-phil Goo, who meets his first-ever loved female friend called Ma Soo-ji, who had married after he left to Hollywood of Los Angeles over a decade ago, which is not usually happened in Korean society but included Kim Min-kyo's own possible and imaginary situations. </s> 
wikipedia.org | <s> Kraft's sudden death gave rise to a legend, to the effect that he was a very avaricious man who loved his treasure, which he loved to count. </s> 
wikipedia.org | <s> Composer Tamara Friebel's "I love you" is a mini loudspeaker and video installation which stages the dance of the brolga (Australian cranes). </s> 
wikipedia.org | <s> Dorelei, sensing that he loves another, says she is willing to share him, as she knows D'Angelines do, but that she herself will be only with him, as is Alban custom. </s> 
wikipedia.org | <s> She refuses, saying she is a grown woman now over the age of majority, and that she will love who she loves freely. </s> 
wikipedia.org | <s> In a moment of weakness, Yamelí steals a kiss from Juanjo and confesses that he loves him, but makes it clear that they cannot be together. </s> 
wikipedia.org | <s> Stuck in a marriage with a sensible man whom she does not love , whom Lady Susan derisively describes as "just old enough to be formal, ungovernable and to have the gout – too old to be agreeable, and too young to die", she delights in hearing of and making suggestions for Lady Susan's manipulative plans. </s> 
wikipedia.org | <s> We know that Dorrie stayed behind to help Larry clean up, that Charlotte has taken a liking to one of Larry's guests, and that Beth was aware that Larry still loved Dorrie. </s> 
wikipedia.org | <s> Lee next starred in Hellcats, a 2008 romantic comedy that traces the lives and loves of three characters at different stages of womanhood. </s> 
wikipedia.org | <s> Her tenderness towards Blanche weakens once only: after her eldest daughters' "death", she reproaches Blanche, ill and asleep, of having rob from them the love they that was due to them. </s> 
wikipedia.org | <s> But when he says that he loves her no matter what her personality is, she, confused and angry, beats him up, telling him she erased the old her for him before crying into his arms which Junichi expresses how glad he is to know the Tsukasa he loves still exists. </s> 
wikipedia.org | <s> Meanwhile, Charlie asks his therapy group members to support Nolan in giving up weed by giving up something they love for 24 hours. </s> 
wikipedia.org | <s> Hange developed an obsessive interest in Titans, and gets uncomfortably intimate with them but that's because they love doing their job. </s> 
wikipedia.org | <s> In her last moments, feeling that the Kouga were doomed to defeat and desiring to go to death with the one that she loves , Kagerou attempts to kill Gennosuke but is stopped by Oboro using her eye technique. </s> 
wikipedia.org | <s> In both the manga and anime adaptations, Tomoyo admits that she loves Sakura, but Sakura replies innocently, "I love you, too," in the platonic sense. </s> 
wikipedia.org | <s> Marie gets upset; however, they give love a second chance, but Frank has a casual encounter with another woman that sends Marie into a rage once again, and the hope for reconciliation was dissolved. </s> 
wikipedia.org | <s> Eventually, both the Shiro and the Wretched Egg personas fuse into her true self once the Mother Goose system's lullaby no longer represses her, and when she is finally alone with Ganta, she reveals the reason why she killed his classmates and implanted on him his Branch of Sin: because she wants to be killed by the only one she truly loved : Ganta. </s> 
wikipedia.org | <s> Everyone loves him, except Carmel's brother, Darren (Gary McDonald), who objects to his sister dating him because he is white. </s> 
wikipedia.org | <s> We consulted with the programme's production team in writing our response and we'd like to assure you our intention is not to portray social workers in a negative light. • Whilst the audience has seen how much Lola loves Lexi and how responsible she can be with her baby, we were careful to ensure that when the social worker was visiting, she generally saw only more worrying behaviour. </s> 
wikipedia.org | <s> A look at the world of boxing; the fighters, promoters, and fans who love it; and the critics who want to ban it. </s> 
wikipedia.org | <s> Even though she loves Takuto, she is willing to give him up because from her point of view, it seems that Milfeulle and Takuto like each other; Ranpha even jokes to Milfeulle that she will take away Takuto if Milfeulle doesn't confess to him soon. </s> 
wikipedia.org | <s> When Toni goes into hiding, Todd seeks the assistance of her friends, who convince him that Toni loves him and help him confront his own feelings for her. </s> 
wikipedia.org | <s> Terri begins attending therapy, but Will tells her he no longer loves her and leaves her as he falls in love with guidance counselor Emma Pillsbury. </s> 
wikipedia.org | <s> One day, however, she overhears her friends making fun of a picture book she loved and had given to one of them. </s> 
wikipedia.org | <s> However, she appears to truly love her husband and kills him to spare him the disgrace of exposure, resignation, trial, life imprisonment, and eternal historical damnation. </s> 
wikipedia.org | <s> When Konata asks why Kanata chose to be with Sōjirō (largely as a joke at his erotic personality's expense), Sōjirō points out that he and his wife simply looked past outwards appearances: Kanata loved Sōjirō despite his otaku tendencies, and Sōjirō obviously did not mind that Kanata had an unusual physique and did not share his hobbies. </s> 
wikipedia.org | <s> She is touched by Sōjirō's kind words that he was the only one who truly loved her as much as he did (she later realized that she too, loved him deeply), and even took a picture with him and Konata together. </s> 
wikipedia.org | <s> Ginta is waiting for Miki when she gets home, where he explains what really happened back in middle school, then tells her he has always loved her. </s> 
wikipedia.org | <s> She loves her mother being the only one who can fulfill her promises even though of her mother's commitments and busy life in work. </s> 
wikipedia.org | <s> They love to look beautiful and love excess; they adore human fashion, from which they rob and collect objects and jewelry of all sorts. </s> 
wikipedia.org | <s> And whether it's gathering with friends and loved ones, giving yuletide alms, creating new flavors of shine or forging new traditions, these shiners are embracing the holiday spirit. </s> 
wikipedia.org | <s> She loves to race across the sky, moving gracefully from cloud to cloud, she dances on her graceful hooves and sails on the wind. </s> 
wikipedia.org | <s> And so, he struck a bargain with Mokuren when she came by to give him his lunch one day: I love you, give up your Kiches powers (virginity) and I will reconcile with Gyokuran, no matter what it takes. </s> 
wikipedia.org | <s> A resulting fire leads to the two to run away from the giant mole in a mine cart, after which Cassandra discovers the mirror, which appears to show Gothel loving four-year-old Cassandra, giving Cass her music box and the two hugging. </s> 
wikipedia.org | <s> It gets personal when the Doyles band together to protect someone they love from the cops and from a killer; Tinny gets in a little further with her new hobby and her new friends. </s> 
wikipedia.org | <s> Russell Stover Black History Heart-Shaped Box – Valentine's Day coincides with Black History Month, making February the perfect time for white men to show their black girlfriends that they both love them and honor their culture through this set of candies molded in the visages of noted black figures (and Bill Clinton). </s> 
wikipedia.org | <s> A guilty Frank later finds Stella and Ben at a local park, he tries to apologize for his harsh behavior and after a series of events, he confirms that he does love her, much to her joy. </s> 
wikipedia.org | <s> In series 9, him and Kelly hit a rough patch when she loses the baby, she leaves him, but returns on discovering he truly loves her. </s> 
wikipedia.org | <s> Both Prince and Dawn regret it and things become awkward between them with Prince insisting that he loved Angel with all his heart and Dawn wanting to talk about it. </s> 
wikipedia.org | <s> Nuno is a Portuguese child who loves making model boats, but to prevent his little brother Lagos from breaking his latest project, he orders an extremely durable display bottle that he builds a ship inside with Jett and Bucky. </s> 
wikipedia.org | <s> Nic treats Justine, a patient who developed a brain infection from a damaged tooth; Justine is revealed to be Cain's ex-girlfriend from college and reveals surprising details about his past to Nic and the two are shown to clearly still love each other. </s> 
wikipedia.org | <s> Brad tells Aaron he loves him before putting him to bed, writes Kathy a note explaining why he is leaving her, then sneaks out while she and her mother finish the dishes. </s> 
wikipedia.org | <s> In 2000 The Sydney Morning Herald included her on a list of the 'century's most loved faces', and she was included in a 1998 issue of Australian stamps featuring pop and rock acts. </s> 
wikipedia.org | <s> Love it! </s> 
wikipedia.org | <s> Instead of frequently saying "I love you" as in some Western societies, the Chinese are more likely to express feelings of affection in a more casual way. </s> 
wikipedia.org | <s> As for love between marital partners, this is deemed an essential ingredient to life: "See life with the wife you love " (Ecclesiastes 9:9). </s> 
wikipedia.org | <s> The Apostle John wrote, "For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. </s> 
wikipedia.org | <s> The song is about a relationship that ends quickly for the narrator, in which he realizes of the situation that he has " love her too late". </s> 
wikipedia.org | <s> He created the band wanting to propose a style of modern metal combined with the genres he loved the most: pop, electronic and symphonic music. </s> 
wikipedia.org | <s> When he tells Peyton that the bartender she is flirting with at the Clothes Over Bros store opening is not good enough for her, it becomes obvious that, despite his relationship with Lindsey, he still loves Peyton. </s> 
wikipedia.org | <s> In the original script, the two male leads were killed by government agents and the final scene happened ten years later with Liza Minnelli's character married to a boring businessman remembering the men she once loved . </s> 
wikipedia.org | <s> In 2016, more than four years after her death, Silas told Lindsey Roscoe (Sophie Austin) that she loved her name, as he knew Lynsey before. </s> 
wikipedia.org | <s> It was the first show I had roadied for three years and I was really loving every minute of plugging the amps in and setting them up on stage, making sure that everything was right. </s> 
wikipedia.org | <s> The telling of this company shows that the idea of Manifest Destiny was not unanimously loved by all Americans and did not always benefit Americans. </s> 
wikipedia.org | <s> After a miscarriage in mid-1753 which almost killed her (as a result this merely brought Louis XV closer to her because he loved the idea that she had almost died "in service" as a proof of her affection for him), Marie-Louise O'Murphy gave birth to Louis XV's illegitimate daughter, Agathe-Louise de Saint-Antoine de Saint-André, born in Paris on 20 June 1754 and baptized that same day at Saint-Paul as a child of "Louis de Saint-André, Old official of infantry and Louise-Marie de Berhini, resident of Saint-Antoine street", both non-existent persons; the King (who did not want to recognize the offspring born from petites maîtresses and brief affairs) ordered that the newborn must be immediately placed in care of a wet nurse. </s> 
wikipedia.org | <s> It was her longing to be loved by her people, by all classes of her people, and she became truly lovable in this quest. </s> 
wikipedia.org | <s> In this specific context, however, the term 'rape' could also refer to elopement: a woman would give her consent to being abducted by the man she loved , and thus avoid asking permission from her parents to marry him. </s> 
wikipedia.org | <s> On the album White Heat, the Tuxedo Dance Orchestra featuring Litton 'complete with Debussy-inspired introduction and the seldom heard verse... the last track a perfect example of all the qualities that had gone into making this CD such a pleasure to listen to: top quality songs, fresh, imaginative arrangements, and virtuoso musicianship, engaging vocals and above all the feeling that you are listening to a group of musicians who believe in and love the music they are presenting. </s> 
wikipedia.org | <s> One of the most loved Orthodox Akathists (i.e. standing hymns) is devoted to Mary and it is often simply called the Akathist Hymn. </s> 
wikipedia.org | <s> This is no surprise given that her father, Dr. Charles Ware (Harvard class of 1834), while not a botanist himself raised his daughter to love botany with a passion. </s> 
wikipedia.org | <s> Santoro retired with the title of #1 "most loved " Periscoper in the world with over 177 million hearts on the live streaming app Periscope on November 11, 2015. </s> 
wikipedia.org | <s> Mautner Project also provides direct services to clients such as transportation to doctors appointments, and facilitates support groups for WPW facing illness, the death of a loved one, or caregiving. </s> 
wikipedia.org | <s> Something Afar (US title The Desire of the Moth - "a Romance of the Italian Lakes"): a retired middle-aged bank clerk finds a message that leads him to Italy to seek the truth behind his betrayal decades earlier by the young countess he loved . </s> 
wikipedia.org | <s> She loves Richard "Dick" Wayne, the son of her father's foreman, but her father wishes her to marry her cousin, a drunken libertine. </s> 
wikipedia.org | <s> Having studied English at university and penned two novels and a variety of scripts and screenplays, Syal was chosen as one of the guests on "The Cultural Exchange" slot of Front Row on 30 April 2013, when she nominated To Kill a Mockingbird by Harper Lee as a piece of art work which she loved . </s> 
wikipedia.org | <s> Upon learning that Greg's real name is Gaylord (when his suitcase finally arrives), and being presented with proof from Pam that he did in fact pass the test, being told off by Dina over his consistent picking apart of any man Pam brings home (and that he didn't even like Pam's previous fiancé, Kevin, until after they broke up), and hearing Pam make a heartfelt call to Greg, Jack realizes that Pam truly loves Greg. </s> 
wikipedia.org | <s> Wolbodo has three subsocieties; Carrus Plicatus, for those who love folding campers, Ornatus Caput, for those who love silly hats and Wolga, the rowing subsociety which has its own subsociety Olga, for women. </s> 
wikipedia.org | <s> But believing that he is the father of Ritika's child and happy in his life, Ishaani lies to him that she never loved him back and would rather die than reuniting with him. </s> 
wikipedia.org | <s> Metzger's best loved food is bean soup and chili, both with a side of oyster crackers, hamburgers, and fried bologna in eggs. </s> 
wikipedia.org | <s> Hatters sell their products throughout the Languedoc and Provence (Camargue cowboys love this type of hat, and the great Provençal poet Frédéric Mistral always wore one). </s> 
wikipedia.org | <s> Singer Mahathi posted an appreciation note on actors of this movie Kamal Haasan and actress Urvashi after watching it, "I have always loved the 'Crazy' Mohan and Kamal Hassan combination. </s> 
wikipedia.org | <s> Lennon was inspired by a song he heard the previous evening, Nina Simone's version of "I Put a Spell on You", which used the same phrase but with the emphasis on the last word, "I love you". </s> 
wikipedia.org | <s> John and Alan Lomax, in their book, Best Loved American Folk Songs, told a credible story identifying the Midnight Special as a train from Houston shining its light into a cell in the Sugar Land Prison. </s> 
wikipedia.org | <s> It was Avram Shechtman, Mikhail's grandfather who deeply loved classical music and, possessing a tenor voice and often singing to young Misha at home as well as playing LP recordings, inspired him to study music. </s> 
wikipedia.org | <s> While she initially married Jock to save Southfork and for Jock's dependability, she grew to love him and they remained married for well over forty years until his death in a helicopter crash in 1982. </s> 
wikipedia.org | <s> However, he rejects her on account of Shouta's feelings, as well as the fact that her feelings toward Shouta are so very strong and her "dependence" on him so strong that there would be "no meaning" to her loving him. </s> 
wikipedia.org | <s> Sometimes a verse from the Bible or a short poem is included, generally on a theme relating to love , death, grief, or heaven. </s> 
wikipedia.org | <s> Similarly, Danny Schwartz of Rolling Stone praised Pop Smoke's versatility, stating, "It is endearing to hear him lower his guard, soften his rasp, trade his boundless swagger for tenderness, and offer the mushy overtures of a kid who loves cuddling nearly as much as sex. </s> 
wikipedia.org | <s> Louis Veuillot, the ultramontane editor of the L'Univers newspaper and one of the Pope's staunchest defenders, reported after meeting Edgardo in Rome that the boy had told him "that he loves his father and his mother, and that he will go to live with them when he is older ... so that he can speak to them of Saint Peter, of God, and of the most Holy Mary". </s> 
wikipedia.org | <s> The members and supporters of Mothers began coming together as a community around 1980-1981; survivors of executions would gather around graves of their loved ones, often executed in secrecy and buried in Khavaran Cemetery. </s> 
wikipedia.org | <s> Long-time caretaker John Stevens, who began in 1926, stayed on when the church bought the property until his retirement in the 1993 and continued to love and maintain the grounds; both Stevens and a minister at the time, Rev. David E. Bumbaugh, spoke out in defense of an old tree just off the property in 1978. </s> 
wikipedia.org | <s> When captured by Hook, every child in the brig loves Smee – he cannot lay a fist on them and does their darning – despite his belief that they fear him. </s> 
wikipedia.org | <s> Shawn receives a phone call from Yin, who tells him that he must choose who he loves more (Juliet or Abigail), and that there is no way to save them both. </s> 
wikipedia.org | <s> But because the music is loved by cultural loyalists in the buganda region, it is certain that there will always be an audience for kadongo kamu. </s> 
wikipedia.org | <s> The series has received support from many online fans; a typical YouTube comment read "I feel a lot of sympathy, and admiration, towards the friendship and love they show for each other. </s> 
wikipedia.org | <s> Given how well it started and how swiftly it palls thereafter, you'll just wish you could love Bunton's Happy Place more". </s> 
wikipedia.org | <s> After the concert, they do not go back to the castle, but instead have sexual intercourse in the Forbidden Forest, but are witnessed by Hogwarts' principal Albus Dumbledore (often referred to as "Albert Dumblydore"), who yells at them and derides them as "motherfukers" . Later, after learning that Draco used to date Harry "Vampire" Potter (a nickname he gained because he " love the taste of human blood"), Ebony becomes so angry that she runs crying into the Forbidden Forest, where she meets Lord Voldemort. </s> 
wikipedia.org | <s> Dannii talks about loving you the way you are, focusing on ways to accentuate the positive, and covers everything from great hair and glowing skin to make-up and embracing a healthy exercise regime. </s> 
wikipedia.org | <s> To Nancy, it seems that everything her mum is saying is true - that Darren doesn't love her and he has been having an affair". </s> 
wikipedia.org | <s> Meanwhile, Gunnar and Scarlett try to record together, but end up kissing each other, only for Scarlett to leave, saying she loves Caleb, and she records her part of their music by herself. </s> 
wikipedia.org | <s> The Legion's women section called Agrupación Femenina de la LCA promoted women to love the armed forces and respect for order, authority, and hierarchy in the home and school. </s> 
wikipedia.org | <s> She corrects him by saying he's got the wrong woman; Rick loves Andrea, and she was in love with Abraham, the man Dwight killed. </s> 
wikipedia.org | <s> I loved Danny. </s> 
wikipedia.org | <s> Zdrenka has said that she has always loved to sing, and as a child, when her father took her on holiday back to Japan, he would make her sing to her family. </s> 
wikipedia.org | <s> On the other hand, his father (Vinu Chakravarthy) arranges his marriage to a village girl named Savithri (Devayani), which Gokul (often referred to as "Mapillai") objects to, but Savithri loves him. </s> 
wikipedia.org | <s> The song's lyrics describes how a woman is angered how her lover has cheated on her and she angrily says back to him, "nobody but a fool would love you". </s> 
wikipedia.org | <s> In the Arctic Circle, Nora reunites with Victor to confirm he wasn't behind the attack and confesses that she never truly loved Francis as she embraces him. </s> 
wikipedia.org | <s> Oh, what songs of the heart We shall sing all the day, When again we assemble at home, When we meet ne'er to part With the blest o'er the way, There no more from our loved ones to roam! </s> 
wikipedia.org | <s> Beckett may have had his own wife in mind when he wrote the play but he goes to some pains never to specify the name or gender of the loved one. </s> 
wikipedia.org | <s> For his portrayal of Omar, Michael K. Williams was named by USA Today as one of ten reasons they still love television. </s> 
wikipedia.org | <s> Girl tells Guy, in Czech, that she loves him – but when he asks her to translate, she replies, "It looks like rain". </s> 
wikipedia.org | <s> Ruby is taken away from her friends and family, all of which she loves , and is forced to cope in the fake and artificial world of Hollywood. </s> 
wikipedia.org | <s> There was one bit where I wrote the start and end of a scene in an imaginary movie, and they loved that. </s> 
wikipedia.org | <s> She was engaged to Henry Cromwell, son of Oliver Cromwell, and also pressured to marry her cousin Thomas Osborne, 1st Duke of Leeds, but eventually married Sir William Temple, 1st Baronet, whom she truly loved . </s> 
wikipedia.org | <s> One night, when Osman was resting at Edebali's house (for the shelter of hospitality could never be denied even to the suitor whose addresses were rejected), the young prince, after long and melancholy musing on her whom he loved , composed his soul in that patient resignation to sorrow, which, according to the Arabs is the key to all happiness. </s> 
wikipedia.org | <s> Set in the Protestant upper-middle-class world of Normandy in the 1880s and reflecting Gide's own relationship with his cousin Madeleine, Jerome loves his cousin Alissa, but fails to find happiness. </s> 
wikipedia.org | <s> Since his clientele loved the paper boxes for takeaway pies that were already introduced by Henrik Kugler, Gerbeaud continued with this tradition and started to design these himself. </s> 
wikipedia.org | <s> Even if the country accepts the current of change in addition to the rapid influence of western culture, but to this day it is still loved and appreciated by art lovers. </s> 
wikipedia.org | <s> The prescribed readings for the feast day were from the Acts of the Apostles, the sermon of Peter for Cornelius (Acts 10:42–48), and from the Gospel of John, "God so loved the world" from the meeting of Jesus and Nicodemus (John 3:16–21). </s> 
wikipedia.org | <s> Soon, he must choose between one woman's feelings for him, and doing whatever it takes to regain the only thing he has ever loved - being a NYPD homicide detective. </s> 
wikipedia.org | <s> Artists perform art forms including the Indian lute and the much loved sitar, with vocalists and yogic dance and drama with rhythms of dancing bells and foot beats. </s> 
wikipedia.org | <s> The first man that Avellaneda had a loved was Ignacio de Cepeda, who was the focus of many of her writings, mainly love letters. </s> 
wikipedia.org | <s> No man knows Okinawa more deeply than Iha, No man loves Okinawa more deeply than Iha, No man worries about Okinawa more deeply than Iha, He loves Okinawa because he knows Okinawa, He worries about Okinawa because he loves Okinawa, He was a scholar, an Okinawa-lover and at the same time, a prophet. </s> 
wikipedia.org | <s> Srem, Banat and Bačka are connected there, three heroic hearts embrace each other there, there even a child loves the farm where it was born, there a heart fights against steel. </s> 
wikipedia.org | <s> Despite its suggestive title, "Nasty Sex" asks women not to have casual sex with irresponsible men but rather with men they love , something La Onda's icon Parménides Garcia criticized severely in his articles, referring to them as "snobbish" ("fresas"). </s> 
wikipedia.org | <s> Point b3 is also backed up by the fact that many Latin Americans distinguish between le quiero "I love him" and lo quiero "I want him" (or indeed "I want it"). </s> 
wikipedia.org | <s> I love her gray tones even though she pretends to be very by the book black and white; I love how just, you know, the complex gray tones in her character. </s> 
wikipedia.org | <s> During their captivity, Jim tells June he has the money to repay his debt to her, and that he still loves her. </s> 
wikipedia.org | <s> Paisas are said to speak softly and quickly, to smile easily, and to love music, poetry, soccer, bargaining in the markets, and parties. </s> 
wikipedia.org | <s> But I grew to love it ... it was not scary or horrifying, it would've been, in those days, deemed bad taste. </s> 
wikipedia.org | <s> His arrangements of traditional hymns continue to be popular in the Christian community, with favourities including his arrangements of 'Londonderry Air' and 'Blaenwern' ('Love Divine All Loves Excelling'). </s> 
wikipedia.org | <s> My Father will love them, and we will come to them and make our home with them. 24 Anyone who does not love me will not obey my teaching. </s> 
wikipedia.org | <s> Signac loved sailing and began to travel in 1892, sailing a small boat to almost all the ports of France, to the Netherlands, and on the Mediterranean Sea as far as Constantinople, basing his boat at St. Tropez, which he later would make popular to other artists. </s> 
wikipedia.org | <s> Here Ranganatham ploy to create Bala as Anasuyamma's mislaid daughter Radha and keeps his assistant Bhagavanlu (Relangi) as her trainer when they love each other. </s> 
wikipedia.org | <s> She has further claimed that Elvis loved the flouncy, yellow baby-doll nightie he had bought her and that he gave her pills after having sex with her. </s> 
wikipedia.org | <s> Other benefits from programs that use pet renting include not only the people who are sick, but it also includes the loved ones of the ill patients too. </s> 
wikipedia.org | <s> Another album for children "Kaj ima sonce najraje" (What Sun loves the most) contains songs by Niko Grafenauer, Boris A. Novak, and folk songs, accompanied by his music. </s> 
wikipedia.org | <s> He also loved games and practical jokes, and enjoyed drawing and painting watercolours, the latter of which he did especially often in his later years. </s> 
wikipedia.org | <s> He has a special affection of putting grease on doorknobs, toilet seats or anything else he can apply it to and especially loves to practice on his sister's former boyfriend (now husband), Ernie. </s> 
wikipedia.org | <s> Just as your father-(Amenhotep III) always showed love to me, so now may my brother always show love to me. </s> 
wikipedia.org | <s> A rushed utterance of the words "I love you", spoken by Carl, is heard near the end of the song. </s> 
wikipedia.org | <s> High school scenes from the movie To All the Boys I've Loved Before and To All the Boys: P.S. I Still Love You were filmed here. </s> 
wikipedia.org | <s> I have many people who love me and I hope that most of you stay on this path and that we are very happy". </s> 
wikipedia.org | <s> In an article in Men's Health, Zachary Zane states that commitment in a polyamorous relationship means that "you will be there for that person," supporting them taking care of them, and loving them. </s> 
wikipedia.org | <s> Porgy asks her what would happen if there was no Crown, and Bess tells Porgy she loves him and begs him to protect her. </s> 
wikipedia.org | <s> Parker has stated that he and Stone would love to do more episodes if someone wanted to distribute them and has encouraged fans with Flash skills to continue the story themselves. </s> 
wikipedia.org | <s> With worldwide box office earnings of $141.2 million Thunderball became the highest-grossing instalment and retained the record until it was surpassed by The Spy Who Loved Me twelve years later; adjusted for inflation it remained the most successful entry until Skyfall was released in 2012. </s> 
wikipedia.org | <s> Kosta Petrov, who co-wrote the song's lyrics with his wife, Sanja Popovska, revealed that "Proud" was written for their daughter, as well as Todevska's daughter, but generally, it's a song about equality, "It is about accepting yourself, loving yourself and celebrating your true self. </s> 
wikipedia.org | <s> Maithili is angry with Abhay because she thinks that he left her for the dead and now loved Piya, and she intends on drinking Piya's blood at a certain time. </s> 
wikipedia.org | <s> His only reference point is women who loves him and he uses them as simple household objects, demanding with strength that his wife Carmen gets used to his concubine (roughly called "Thing") that he has decided to stay at his residence together with the small family. </s> 
wikipedia.org | <s> Sardar Vallabhai Patel, the first Deputy Prime Minister and Home Minister of India, said in early January 1948 that the RSS activists were "patriots who love their country". </s> 
wikipedia.org | <s> It's about almost teenage crushes – when you're not in love yet but you really like a guy – which I'm really excited about because I don't think there are too many out like that. </s> 
wikipedia.org | <s> In contrast to her mother, who was loved by her pupils and respected at court, de Soucy was not as liked by her students, and was described as authoritarian and an intriguer. </s> 
wikipedia.org | <s> And I'm an actress–I love being able to translate everything I'm feeling inside through my voice and through the songs. </s> 
wikipedia.org | <s> Brain activation with the picture of the loved one was high in the region of the brain that produces and distributes dopamine and also brains "reward system", or the neural network associated with pleasure, arousal, focus, and motivation. </s> 
wikipedia.org | <s> In an interview with Billboard magazine, Scott said the song is "the polar opposite of 'Dancing On My Own'" "There are a lot of songs about love and how it starts, whether that's realizing it yourself or coming to find it later on – but no sort of talk about the actual feelings that are created from love and passion. </s> 
wikipedia.org | <s> Her outspoken aunt Penelope Ryland (Lucile Gleason), the owner of the Frying Pan Ranch in Arizona, objects to their marriage, claiming people should only be married if they love each other. </s> 
wikipedia.org | <s> He started recording at the Abbey Road Studios in England, and reached the British charts with the English-language songs "Walking Alone" (#37, 1963) and "If I Loved You" (#18, 1964). </s> 
wikipedia.org | <s> Gough was remembered long after his death in an 17 October 1990 press article referring to him in these terms "60 years ago one of Swansea's best loved seamen died after a long illness, after a career on sea which spanned more than half a century". </s> 
wikipedia.org | <s> As described in a film magazine, Sally Castleton (Dana) is loved by Milt Derr (Chesebro), but Jed (Blue), a cousin of Milt, is desirous of possessing Sally. </s> 
wikipedia.org | <s> When her son Rick shoots Grant, Ridge takes the blame and while waiting to be sentenced, he spills his heart to Taylor confessing it was her he always loved . </s> 
wikipedia.org | <s> An article in People Magazine noted, "The parallels between Waller's life and his art–his Bridges heroine, farmwife Francesca, sacrifices her chance for happiness with a globe-hopping photographer in order to stay home and shield her loved ones from small-town scandal–haven't been lost on the locals". </s> 
wikipedia.org | <s> A romantic comedy; a young man disguises himself as his sister and takes her place at a ladies' finishing school, in order to pursue the woman he loves . </s> 
wikipedia.org | <s> I also wanted the town to be 'anytown' USA, and I used to love sports players with a big ZERO on their back. </s> 
wikipedia.org | <s> After discovering her half-sister Ruping's love for Shuhuan, she seeks Shuhuan's love, partly as revenge (as he discovers by reading her diary), but in her heart, she really loves him and so for He Shuhuan, her revenge become meaningless and she learns to be loving and forgiving of her father. </s> 
wikipedia.org | <s> Since the color rose is so well loved in Persia (Iran), some shades of rose are named after Persia, such as the light tone of rose at right that is called Persian pink. </s> 
wikipedia.org | <s> Lost at sea, lost at sea Or in the evening tide We loved you, we miss you May God with you abide. </s> 
wikipedia.org | <s> And another day when God shall bless thee, love and cherish the poor people, and count that thy chief riches to be rich in alms. </s> 
wikipedia.org | <s> The Tigers moved to rectify this a few years ago, which pleased many followers of the club as Hart was the best loved player among the fans during the club's greatest era. </s> 
wikipedia.org | <s> This was necessary for her to get a work permit in the U.S. Nevertheless, Eskenazi loved America and would have emigrated there were it not for her other love, Christos Philipokopoulos. </s> 
wikipedia.org | <s> Father Grande, without offending and forcing himself upon his flock in the practice of their religion, was only slowly forming a genuine community of faith, hope, and love among them, he was making them aware of their dignity as individuals, of their basic rights. </s> 
wikipedia.org | <s> A passage of the poem often paraphrased as "Ang Hindi marunong magmahal sa sariling wika, masahol pa sa hayop at malansang isda" (English: "He who knows not to love his own language, is worse than beasts and putrid fish") is widely quoted in order to justify pressuring Philippine citizens into using Tagalog; this ironically includes its majority of nonnative speakers. </s> 
wikipedia.org | <s> However, executives at Warner Bros. Records loved Sabi's talent and energy and wanted to continue the label's relationship with her as a solo artist. </s> 
wikipedia.org | <s> Five official singles were released from the album: " Love Me for a Reason", "Key to My Life", "So Good", "Father and Son" and "Coming Home Now". </s> 
wikipedia.org | <s> The theme of the forest and of shepherds at play, the image of confident waiting for the loved one, produced an original offshoot; for this is the region of Maayon (Ancient Tamil god), and the love theme it represents symbolizes the devotee waiting in the hope that Maayon will eventually come and fill his soul, thus experiencing the joys of expectation. </s> 
wikipedia.org | <s> Pari becomes pregnant and asks Rukayya to leave Aazam or she will kill their child as she believes Aazam and Rukayya only want a child and they don't love her. </s> 
wikipedia.org | <s> She fell in love with Ja-yun, but was rejected and she was jealous of So-dan because she was his lover, so she paid So-dan's father to sell her to a noble who loves young beautiful girl and ended up (unintentionally) killing her. </s> 
wikipedia.org | <s> She ultimately concluded that "I don't love some of the choices the show has made recently" and that "the show has just been spinning its wheels for the past several weeks". </s> 
wikipedia.org | <s> This film is the story of a coffee shop girl Raina (Arpita Chatterjee) and the man who loves her Afzar (Ashish Bisht) an aspiring model. </s> 
wikipedia.org | <s> Described as a man who " loved the good life", he once took a friend on a one-day trip to Poland simply because they wanted to try eating duck properly. </s> 
